epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15075.5,0.97078,0.90499,1.24665,0.70092,0.74762,0.75317,0.54298,1.22179,1.0902,1.53452,0.000990365,0.000990365,0.000990365
43,15430.8,0.98702,0.89924,1.26244,0.7243,0.72399,0.7437,0.54727,1.18858,1.09683,1.49676,0.000973861,0.000973861,0.000973861
44,15788.5,0.957,0.86261,1.24546,0.81759,0.70811,0.77068,0.56414,1.14829,1.10466,1.48655,0.000957358,0.000957358,0.000957358
45,16147.1,0.97141,0.86897,1.23848,0.76902,0.76362,0.78172,0.56454,1.15542,1.03384,1.47125,0.000940855,0.000940855,0.000940855
46,16505,0.9555,0.85538,1.23591,0.7771,0.72489,0.76681,0.54768,1.26512,1.14853,1.57473,0.000924352,0.000924352,0.000924352
47,16863,0.96654,0.88074,1.25172,0.75534,0.72622,0.75658,0.5492,1.21507,1.04668,1.54544,0.000907848,0.000907848,0.000907848
48,17225.3,0.96218,0.8597,1.25072,0.74997,0.69394,0.74879,0.54713,1.23253,1.1532,1.55178,0.000891345,0.000891345,0.000891345
49,17586.6,0.9541,0.86108,1.24209,0.76302,0.72059,0.76735,0.55506,1.23329,1.04996,1.53963,0.000874842,0.000874842,0.000874842
50,17944.1,0.94099,0.83056,1.2304,0.82081,0.74322,0.79305,0.57662,1.17451,1.06811,1.48772,0.000858338,0.000858338,0.000858338
51,18302.8,0.94571,0.86228,1.23715,0.7837,0.72444,0.75269,0.55623,1.16674,1.12435,1.48709,0.000841835,0.000841835,0.000841835
52,18662.7,0.93899,0.81901,1.22499,0.78328,0.76747,0.79184,0.58308,1.17,1.01645,1.49677,0.000825332,0.000825332,0.000825332
53,19021.4,0.91224,0.80436,1.2074,0.80162,0.73334,0.77548,0.5804,1.13564,0.9938,1.46249,0.000808828,0.000808828,0.000808828
54,19379.2,0.93093,0.80618,1.22431,0.79917,0.76702,0.78954,0.57655,1.1579,0.99973,1.47087,0.000792325,0.000792325,0.000792325
